	cell type: Hematopoietic stem cell_CD133+ CD34dim_to_cell type: Hematopoietic stem cell_CD38- CD34+	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Common myeloid progenitor	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Early B-cell	cell type: Early B-cell_to_cell type: Pro B-cell	cell type: Pro B-cell_to_cell type: Naïve B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cells	cell type: Naïve B-cells_to_cell type: Mature B-cell class able to switch	cell type: Naïve B-cells_to_cell type: Mature B-cell class switched	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD8+ T-cell	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Naive CD4+ T-cell	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Central Memory	cell type: Naive CD4+ T-cell_to_cell type: CD4+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Central Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory	cell type: Naive CD8+ T-cell_to_cell type: CD8+ Effector Memory RA	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: NKT	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56+ CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16+ CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Mature NK cell_CD56- CD16- CD3-	cell type: Hematopoietic stem cell_CD38- CD34+_to_cell type: Plasmacytoid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Myeloid Dendritic Cell	cell type: Common myeloid progenitor_to_cell type: Granulocyte/monocyte progenitor	cell type: Common myeloid progenitor_to_cell type: Megakaryocyte/ erythroid progenitor	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Erythroid_CD34+ CD71+ GlyA-	cell type: Erythroid_CD34+ CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA-	cell type: Erythroid_CD34- CD71+ GlyA-_to_cell type: Erythroid_CD34- CD71+ GlyA+	cell type: Erythroid_CD34- CD71+ GlyA+_to_cell type: Erythroid_CD34- CD71lo GlyA+	cell type: Erythroid_CD34- CD71lo GlyA+_to_cell type: Erythroid_CD34- CD71- GlyA+	cell type: Megakaryocyte/ erythroid progenitor_to_cell type: Colony Forming Unit-Megakaryocytic	cell type: Colony Forming Unit-Megakaryocytic_to_cell type: Megakaryocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Granulocyte	cell type: Colony Forming Unit-Granulocyte_to_cell type: Granulocyte (Neutrophilic Metamyelocyte)	cell type: Granulocyte (Neutrophilic Metamyelocyte)_to_cell type: Granulocyte (Neutrophil)	cell type: Granulocyte/monocyte progenitor_to_cell type: Colony Forming Unit-Monocyte	cell type: Colony Forming Unit-Monocyte_to_cell type: Monocyte	cell type: Granulocyte/monocyte progenitor_to_cell type: Eosinophill	cell type: Granulocyte/monocyte progenitor_to_cell type: Basophils
SMARCC2	-0.0002232	-0.00035834	-3.1998e-05	-0.00024186	-0.00015849	0.00023236	0.00084678	-0.00069677	0.00080753	-0.00038292	-0.00053365	0.0016244	0.00067237	-0.13698	-0.00075028	0.00047716	0.00041406	0.00093791	7.0125e-05	-0.0043597	-0.00013778	-0.00036085	-0.00037175	-0.00092196	0.0016688	-0.00036016	0.00014343	-0.00050082	0.00053047	-0.00015124	0.00056243	-4.323e-05	0.00025703	-0.00033427	-0.00021607	0.00056542	8.8671e-05
SMARCC1	5.5391e-05	0.00099016	0.00092071	-0.00089795	0.037626	0.00059978	-0.00061933	-0.00057666	0.0003122	-2.0351e-07	-0.069724	0.0003343	0.00068379	0.00012563	-0.030774	-0.00028097	0.037529	0.00076135	-0.00072828	-5.5391e-05	-0.00026873	-0.00059776	-0.00070646	-0.0005509	0.00021922	-0.00088281	0.0010285	0.00011339	0.0002012	-0.00023211	0.00010249	-0.031795	0.00018377	-0.00050736	0.00016077	-0.00037689	-0.00070413
HOXC10	-5.2095e-05	0.00026609	-0.011544	0.010899	0.00046392	0.00016785	-0.00030627	0.00044635	0.00015123	0.00041755	-0.10732	0.0003332	0.0004561	-0.00063506	0.00035983	-0.00014453	0.00026609	-0.00019236	-0.0004305	0.00026626	-0.00036883	-0.00014359	0	-0.00035391	0.00038457	-0.00039784	0.00073879	-0.00035162	-6.6166e-05	6.2706e-05	8.6483e-05	-6.1714e-06	7.2382e-05	0.00014359	0.00045552	-7.9233e-05	-3.1608e-05
MEN1	-0.00091846	0.0017629	0.00038453	-0.00067106	-0.0017335	-0.0004987	9.8916e-05	0.00041658	0.0016464	-0.02082	0.054735	-0.041819	0.00095544	-0.00096334	-0.0001819	-0.00021948	-0.00027498	-0.00089796	-0.004449	0.00057644	0.00026744	-0.00046351	0.00032305	0.018687	-0.00011985	-0.055128	0.00034886	0.033016	-0.034486	0.015174	-0.00049498	0.00053727	-0.00044679	0.061971	-0.062302	0.00032615	0.00014386
HIPK2	0.015469	0.00054911	0.00046291	0.0005219	0.00051185	-0.087191	-0.00052827	0.0001498	-8.2618e-05	0.00042872	0.00068001	0.00060838	-0.10798	0.00050413	-0.00077556	0.00072847	-0.0009627	-0.0073891	0.00079714	-0.00071494	-0.00028258	-0.00078364	-0.010953	-0.00028427	0.00055879	-0.00014466	0.00057573	0.00082857	-0.00017962	-0.00039035	-0.00080432	-0.0006129	0.00053624	0.00047694	0.00035071	0.00029861	-0.00091901
LHX2	0.00020792	0.0065027	4.2877e-05	-0.024024	0.019569	-0.00092655	0.032264	9.1678e-05	-0.00028656	0.0007634	-0.00038676	-0.05733	0.0005503	2.4888e-05	0.055922	0.00059702	-0.016488	3.4479e-06	2.0577e-05	-0.00089015	-0.013442	0.00086018	0.00010608	-0.00024018	-0.033294	-0.00025319	0.02376	0.030405	-0.00095365	0.0010023	-0.00080473	0.00015045	-0.0065431	-0.00020854	0.0004043	-0.049514	0.00066577
NR0B2	-0.00071046	-0.00018786	0.00044411	0.00046542	5.0817e-05	0.035614	-0.00025904	-0.00013254	-0.00076756	0.00090355	0.00018018	-0.00022192	0.00098347	0.014156	-0.00013161	-9.7126e-06	0.0010186	-0.00056974	-0.00047836	-0.00088854	-0.029992	0.0011464	-0.00053169	-0.00059925	0.00019835	0.0065348	-0.00079568	-0.00071307	-0.00021618	6.4014e-07	0.00025832	-0.00050629	-0.00061621	0.0031174	0.080686	0.00028391	0.00033159
NR0B1	-5.7197e-05	-0.010032	0.00094349	-0.00056668	-0.00049908	-0.00084743	-0.00041205	0.00047496	0.00058271	0.00037769	-0.00011092	-3.4314e-05	0.00033194	-6.1654e-05	-0.00033672	-0.00051603	0.00058214	0.00018821	0.00034338	0.010382	0.00955	-0.00097431	0.0098412	0.00086183	0.00065239	-0.00065312	-0.00048701	0.0006388	-0.00017138	0.0007047	0.032329	0.0005362	0.004148	-0.00067995	-0.00090052	0.0052491	4.5511e-05
FOXQ1	0.00030134	-0.00053072	-2.8552e-05	-0.00055954	0.00056294	-0.00013856	-0.00058235	-5.5609e-05	0.00061494	-0.00047071	-0.00028145	-0.00088762	0.00083954	-0.00085206	-4.6675e-06	-0.00032895	0.00044467	1.8048e-05	-0.00010504	0.0025826	0.18296	9.3926e-05	0.00035192	-0.00040618	0.00055032	-0.00013571	6.2628e-05	1.9913e-05	-0.00046746	-9.2512e-05	0.00053538	0.00017573	-0.00044469	-0.017573	-0.00078166	0.0002663	0.00026642
SP9	-0.00079889	0.00033546	-0.00059906	0.00010198	0.00054953	0.00021111	0.00022838	-0.00063565	-7.6389e-05	0.0002637	-4.6725e-05	0.0003487	9.073e-05	-0.00019011	0.00033995	0.00032449	-0.00082197	0.00030428	-6.4876e-05	0.00026356	-0.00016045	0.00079879	-0.0002593	0.0001874	0.00011676	0.031793	-0.00062006	0.00065975	0.0019981	-0.00085708	-0.00087069	0.016816	-0.00048562	-0.00021766	-0.0006577	0.00016445	-0.00041422
